ID,x,y,z,PCI
217,"-0.165756,-0.151825,-0.20488,-0.253738,-0.225266,-0.172455,-0.11058,-0.177048,-0.24327100000000002,-0.162521,-0.13894700000000001,-0.1465,-0.14382899999999998,-0.184677,-0.343124,-0.381073,-0.234116,-0.200027,-0.20629899999999998,-0.137756,-0.291534,-0.24287399999999998,-0.15152000000000002,-0.17482,-0.220642,-0.216522,-0.182068,-0.215988,-0.14840699999999998,-0.23057600000000003,-0.221451,-0.182678,-0.125275,-0.163742,-0.141769,-0.148788,-0.169464,-0.182419,-0.148727,-0.130173","-0.008026,-0.038712,-0.006271,-0.026413,-0.063583,0.0015869999999999999,-0.033157,-0.101395,-0.057053,-0.020279,-0.014694,0.014832,-0.014542,-0.0058590000000000005,0.015762,-0.164719,-0.106735,-0.080917,-0.085602,-0.065582,-0.067886,-0.162689,-0.045807,-0.048462,-0.063065,-0.047684,-0.046249,-0.055023,-0.039612,-0.12266500000000001,-0.12145999999999998,-0.075119,-0.071594,-0.06536900000000001,-0.037521,-0.07132000000000001,-0.108688,-0.105927,-0.098419,-0.083023","-0.9795379999999999,-0.982361,-1.1465610000000002,-1.1610719999999999,-0.955734,-0.846893,-0.923325,-0.8879090000000001,-1.0791469999999999,-1.005096,-0.8701629999999999,-0.880569,-0.767288,-1.059082,-0.815018,-0.660751,-0.709488,-0.903442,-1.013092,-0.8877719999999999,-0.949097,-0.9436950000000001,-1.022537,-1.060577,-1.079605,-0.9438629999999999,-1.009888,-1.048157,-0.992813,-1.06897,-1.007355,-0.8605649999999999,-0.906158,-0.9994350000000001,-1.002304,-1.03067,-1.0169979999999998,-0.9144129999999999,-0.8633270000000001,-0.910034",30
218,"-0.13063,-0.171036,-0.17971800000000002,-0.15892,-0.123642,-0.127548,-0.125183,-0.103424,-0.110901,-0.125,-0.108276,-0.099915,-0.136017,-0.184357,-0.187729,-0.15892,-0.104202,-0.080597,-0.115356,-0.13707,-0.09716799999999999,-0.113449,-0.11386099999999999,-0.126801,-0.134125,-0.09581,-0.014191,-0.015976,-0.08038300000000001,-0.153091,-0.10450699999999999,-0.112778,-0.131073,-0.152374,-0.214294,-0.234756,-0.131912,-0.152252,-0.21700999999999998,-0.227921","-0.06018099999999999,-0.060989,-0.056442,-0.073166,-0.06369,-0.06628400000000001,-0.08845499999999999,-0.069763,-0.043793,-0.043427,-0.044952,-0.056853999999999995,-0.06675700000000001,-0.117203,-0.155609,-0.14569100000000001,-0.10398900000000001,-0.10965,-0.119736,-0.064667,-0.035934,-0.080551,-0.09639,-0.083847,-0.136505,-0.029907,0.024063,-0.029999,0.006927,-0.127106,-0.0074010000000000005,-0.07196,-0.081863,-0.09400900000000001,-0.027496,-0.087631,-0.083817,0.009094,-0.005936,-0.050491","-0.946793,-1.000351,-0.996384,-0.95134,-0.9478,-0.965775,-0.9572139999999999,-0.988052,-0.9810639999999999,-1.045151,-0.962448,-0.937271,-0.859375,-0.84729,-0.9088440000000001,-0.738297,-0.948425,-0.861984,-0.9054110000000001,-0.955643,-1.039413,-0.868607,-0.8224030000000001,-1.130203,-1.172104,-1.18454,-0.954773,-1.012177,-0.926651,-0.865784,-0.90509,-0.891617,-0.855347,-0.965958,-1.058853,-1.010391,-0.9781489999999999,-0.932266,-0.9618680000000001,-1.0096889999999998",90
219,"-0.13230899999999998,-0.125351,-0.144577,-0.172546,-0.17955,-0.158905,-0.158066,-0.149796,-0.115875,-0.1194,-0.150055,-0.143677,-0.125763,-0.06565900000000001,-0.090073,-0.09703099999999999,-0.076538,-0.050491,-0.133026,-0.21365399999999998,-0.156906,-0.18971300000000002,-0.147781,-0.13508599999999998,-0.154114,-0.07710299999999999,-0.077988,-0.087479,-0.129333,-0.242493,-0.251434,-0.20704699999999998,-0.21553000000000003,-0.182022,-0.11647,-0.098083,-0.127914,-0.212723,-0.196075,-0.158173","-0.044495,-0.061737,-0.08194,-0.065857,-0.11726400000000001,-0.068985,-0.07850599999999999,-0.025299000000000002,-0.037567,-0.07933,-0.039001,-0.088562,-0.116638,-0.079193,-0.07380700000000001,-0.07157899999999999,0.017029,0.0023350000000000003,0.043732,-0.041016000000000004,-0.022141,0.112946,-0.092697,-0.026291000000000002,-0.062622,0.020569,-0.023117,0.040787000000000004,0.014403999999999998,-0.075043,-0.11491400000000002,-0.11914100000000001,-0.121674,-0.121689,-0.089401,-0.08725,-0.031876,-0.09538300000000001,-0.126251,-0.045166000000000005","-1.016006,-1.01944,-0.979126,-0.979736,-0.973541,-1.12709,-1.017059,-0.884445,-0.956894,-0.999908,-1.1236110000000001,-0.9780120000000001,-0.9064180000000001,-0.977066,-0.9711299999999999,-0.976059,-0.9385680000000001,-1.075012,-1.048691,-1.0043030000000002,-1.3916629999999999,-1.066666,-0.8772129999999999,-1.036087,-1.2301030000000002,-1.114792,-0.766983,-0.8126369999999999,-0.885727,-1.0737299999999999,-1.167252,-1.052322,-0.9539489999999999,-0.955048,-0.853851,-0.8208469999999999,-0.8533940000000001,-1.095459,-1.119858,-0.9965209999999999",40
220,"-0.201157,-0.190826,-0.126724,-0.168259,-0.18193099999999998,-0.126999,-0.18798800000000002,-0.20106500000000002,-0.185028,-0.20263699999999998,-0.17009000000000002,-0.193985,-0.13855,-0.129074,-0.12350499999999999,-0.15419000000000002,-0.155136,-0.184631,-0.178726,-0.16893,-0.171585,-0.13656600000000002,-0.092697,-0.105026,-0.13058499999999998,-0.136444,-0.099548,-0.101868,-0.034607,-0.054977,-0.165451,-0.07157899999999999,-0.093292,-0.112793,-0.037964,-0.050797,-0.055893,-0.043427,-0.07434099999999999,-0.110825","-0.067444,-0.119736,-0.092499,-0.079163,-0.07728600000000001,-0.040466,-0.036926,-0.09764099999999999,-0.011337,-0.097687,-0.10141,-0.101425,-0.040359,-0.0159,0.027267000000000003,-0.027267000000000003,-0.017456,-0.03688,-0.03273,-0.048157,-0.046752999999999996,-0.064575,-0.001678,0.015335,0.043045,-0.03215,-0.058334000000000004,-0.048264,0.060684,-0.052063,-0.023987,-0.046508999999999995,-0.079483,-0.05014,-0.009628,0.0028989999999999997,0.080246,0.052261,0.0007480000000000001,-0.0007480000000000001","-0.9104610000000001,-0.849808,-0.903854,-1.045609,-0.9063260000000001,-1.044586,-1.1499629999999998,-0.920624,-0.7906489999999999,-0.790756,-0.8764040000000001,-0.8856510000000001,-1.056778,-1.129501,-1.021164,-1.006638,-1.037018,-1.074921,-1.027771,-1.007034,-0.9764709999999999,-0.857727,-0.912216,-0.9995569999999999,-1.114075,-1.063553,-0.916183,-1.079391,-1.154434,-0.700241,-0.613464,-0.703094,-0.772827,-1.030426,-1.331284,-1.268463,-0.9338989999999999,-0.857819,-0.9084780000000001,-1.010147",60
221,"-0.090576,-0.11817899999999999,-0.125641,-0.070236,-0.07077,-0.13630699999999998,-0.135345,-0.135757,-0.10340899999999999,-0.148514,-0.161179,-0.160065,-0.115097,-0.118622,-0.17131,-0.169403,-0.118271,-0.13630699999999998,-0.180634,-0.120071,-0.12356600000000001,-0.12123099999999999,-0.128632,-0.11018399999999999,-0.112778,-0.167419,-0.108551,-0.14682,-0.14296,-0.148315,-0.095612,-0.11918599999999999,-0.10713199999999999,-0.136475,-0.098755,-0.103439,-0.064926,-0.17067000000000002,-0.158691,-0.176315","-0.0058590000000000005,-0.016753999999999998,-0.050506999999999996,-0.016724,0.007645,-0.040770999999999995,-0.004852,-0.047607,-0.05658,-0.015045,-0.037323,-0.03035,0.0046689999999999995,0.038208,0.005234,-0.054138,-0.061661,-0.032211000000000004,-0.048248,-0.040175999999999996,0.004852,-0.116791,-0.063324,-0.014511000000000001,0.032166,0.045822,0.028076,-0.005111999999999999,-0.035995,-0.064484,0.032623,-0.038437,-0.00563,0.060394,-0.006241,-0.048019,0.10629300000000001,0.06286599999999999,-0.11972000000000001,-0.034348000000000004","-0.990341,-1.030197,-0.976562,-1.012817,-0.987244,-1.034897,-1.047943,-0.9799190000000001,-0.759293,-0.873901,-0.933685,-0.927383,-0.958572,-0.917221,-0.9433440000000001,-0.994431,-1.018677,-0.9719700000000001,-0.970413,-1.0504,-0.7774810000000001,-1.0436860000000001,-1.025543,-0.986664,-1.081497,-1.121262,-1.017136,-1.016037,-0.967743,-1.070786,-1.212906,-1.237854,-1.087967,-0.935318,-1.064102,-1.1368260000000001,-1.467514,-1.025482,-0.789383,-0.6615300000000001",60
222,"-0.189941,-0.099243,-0.17392,-0.177155,-0.123856,-0.170502,-0.061371,0.004761,-0.098129,-0.142319,-0.177048,-0.164078,-0.18748499999999998,-0.204041,-0.167206,-0.12738,-0.108856,-0.148422,-0.12165799999999999,-0.146973,-0.15745499999999998,-0.14582799999999999,-0.127914,-0.14115899999999998,-0.16539,-0.151871,-0.176178,-0.202972,-0.118317,-0.068069,-0.144989,-0.169022,-0.12048299999999999,-0.118073,-0.14915499999999998,-0.163696,-0.136795,-0.14415,-0.141342,-0.139511","-0.140961,-0.158951,-0.105804,-0.094788,-0.0858,-0.17778,-0.10598800000000001,0.087265,0.010529,0.023422,-0.031157999999999998,-0.11358599999999999,-0.046936,-0.104965,-0.094086,-0.042526,0.020538,-0.005219,-0.027313,0.026810000000000004,-0.056029999999999996,-0.073898,-0.033417,-0.07225,-0.086029,-0.056625,-0.044556,-0.12153599999999999,-0.078171,-0.04863,-0.111572,-0.087402,-0.072556,-0.10880999999999999,-0.10693399999999999,-0.130615,-0.11863699999999999,-0.135864,-0.118591,-0.126648","-0.639694,-0.9941559999999999,-1.088654,-0.891998,-0.8776860000000001,-0.774704,-1.0893709999999999,-1.0442049999999998,-0.9526209999999999,-0.856201,-0.942917,-0.9068149999999999,-1.0541690000000001,-0.975525,-0.946198,-0.9138950000000001,-0.9362950000000001,-0.9771120000000001,-0.9332889999999999,-1.061447,-1.062057,-0.927567,-0.9479059999999999,-0.9689639999999999,-0.9820559999999999,-0.967651,-1.021835,-0.991074,-0.906113,-0.967041,-0.931976,-1.017334,-1.018936,-1.018448,-1.004669,-0.960175,-0.9822540000000001,-0.996674,-1.014832,-0.9855649999999999",60
223,"-0.16676300000000002,-0.152832,-0.181122,-0.193222,-0.20344500000000001,-0.20672600000000002,-0.22216799999999998,-0.166,-0.24984699999999999,-0.223648,-0.180878,-0.16256700000000002,-0.126801,-0.177475,-0.22701999999999997,-0.215042,-0.204269,-0.218246,-0.229431,-0.230179,-0.236023,-0.24545300000000003,-0.225861,-0.193604,-0.22169499999999998,-0.257187,-0.22998000000000002,-0.260178,-0.259552,-0.256119,-0.228714,-0.22953800000000002,-0.25863600000000003,-0.259094,-0.266846,-0.272049,-0.273819,-0.234283,-0.245758,-0.256897","-0.140152,-0.127686,-0.146149,-0.167664,-0.165741,-0.158157,-0.169769,-0.11828599999999999,-0.10319500000000001,-0.148071,-0.128906,-0.14592,-0.176514,-0.192093,-0.220734,-0.21363800000000002,-0.24075300000000002,-0.233643,-0.24941999999999998,-0.243317,-0.217773,-0.23028600000000002,-0.242538,-0.223083,-0.240829,-0.24768099999999998,-0.24415599999999998,-0.2715,-0.23068200000000003,-0.27226300000000003,-0.242325,-0.26683,-0.250259,-0.26825,-0.263763,-0.24794000000000002,-0.263123,-0.2612,-0.273148,-0.26857","-0.94986,-0.975174,-0.954468,-0.928894,-1.016098,-0.943161,-0.9752959999999999,-1.025879,-1.054733,-1.0454709999999998,-0.9665370000000001,-0.974686,-0.944366,-0.93573,-1.023285,-0.951462,-0.9412229999999999,-0.8741459999999999,-0.8695219999999999,-0.912048,-0.9385680000000001,-0.944275,-0.898026,-0.8654790000000001,-0.85582,-0.9080959999999999,-0.971634,-1.0056610000000001,-0.978424,-0.9410709999999999,-0.890518,-0.875092,-0.8826290000000001,-0.967987,-0.944092,-0.932617,-0.9170229999999999,-0.914429,-0.933212,-0.9595030000000001",40
224,"-0.249466,-0.200256,-0.200195,-0.210754,-0.186325,-0.182526,-0.180756,-0.200851,-0.140396,-0.21519499999999997,-0.261108,-0.297302,-0.140198,-0.05899,-0.11856099999999999,-0.132828,-0.27368200000000004,-0.160446,-0.060547000000000004,-0.13050799999999999,-0.114227,-0.168167,-0.250504,-0.146454,-0.114197,-0.11525,-0.13189700000000001,-0.171402,-0.21438600000000002,-0.157684,-0.095062,-0.139572,-0.177567,-0.187302,-0.304184,-0.232361,-0.17314100000000002,-0.222,-0.21426399999999998,-0.157913","-0.289444,-0.279327,-0.264206,-0.261612,-0.29489099999999996,-0.290604,-0.273056,-0.27624499999999996,-0.252472,-0.28672800000000004,-0.32518,-0.209366,-0.264359,-0.099487,-0.235138,-0.263275,-0.29025300000000004,-0.20857199999999998,-0.177475,-0.153336,-0.10951199999999998,-0.187057,-0.30046100000000003,-0.160141,-0.21256999999999998,-0.188568,-0.179733,-0.20544400000000002,-0.178055,-0.162231,-0.158493,-0.126083,-0.134903,-0.091019,-0.130676,-0.114227,-0.053238,-0.09845,-0.093735,-0.070923","-0.9773860000000001,-0.911484,-0.975082,-0.91275,-0.930481,-0.972992,-0.928391,-0.939499,-0.923676,-0.978714,-1.149033,-0.9822850000000001,-1.264435,-1.072327,-0.846359,-1.0849,-1.127151,-1.132416,-0.921082,-0.749985,-0.819275,-1.19072,-1.2109530000000002,-1.2293399999999999,-1.034882,-0.92981,-0.8638,-1.0128780000000002,-1.043716,-0.928375,-0.8833469999999999,-0.869934,-0.93042,-0.9833219999999999,-1.043396,-1.100082,-0.985733,-0.8551030000000001,-0.890503,-0.9875790000000001",60
225,"-0.177231,-0.229187,-0.186478,-0.145782,-0.15918,-0.219498,-0.284744,-0.297958,-0.298141,-0.22853099999999998,-0.276169,-0.32222,-0.311356,-0.284302,-0.25006100000000003,-0.244125,-0.242096,-0.18670699999999998,-0.178223,-0.20982399999999998,-0.251404,-0.18948399999999999,0.018463,-0.22453299999999998,-0.28626999999999997,-0.242142,-0.256744,-0.307556,-0.331604,-0.270905,-0.32142600000000005,-0.328308,-0.273773,-0.297348,-0.336868,-0.309067,-0.372345,-0.33815,-0.2724,-0.369812","-0.083603,-0.090576,-0.047012,-0.054412999999999996,-0.06088300000000001,-0.039993,-0.010773,-0.05275,-0.03154,0.011993,-0.019531,-0.015030000000000002,-0.008575,0.0047,0.009918000000000001,0.019302,-0.002945,-0.044708,-0.038834,0.005646,-0.085052,-0.019196,0.038391,-0.199493,-0.117996,-0.097961,-0.07267799999999999,-0.013350999999999998,-0.077515,-0.059829999999999994,-0.04509,-0.063416,-0.07006799999999999,-0.041367,-0.06515499999999999,-0.03241,-0.089157,-0.065811,0.011887,-0.096191","-1.0121,-1.025436,-0.9464110000000001,-0.784424,-0.8921049999999999,-0.9238280000000001,-1.058777,-1.1345370000000001,-0.9954219999999999,-0.823166,-0.886093,-0.9705809999999999,-1.003433,-1.03656,-0.939743,-0.878128,-0.921249,-0.984344,-0.9871219999999999,-0.9506680000000001,-0.951309,-0.949493,-0.843399,-1.08754,-1.028915,-0.970505,-0.97229,-0.9174190000000001,-1.0012510000000001,-0.91304,-0.8897709999999999,-0.911118,-0.909698,-0.9658200000000001,-0.93486,-0.9347530000000001,-0.923767,-0.9550780000000001,-0.995483,-1.035965",50
226,"-0.340134,-0.379623,-0.34815999999999997,-0.287354,-0.218567,-0.147446,-0.164322,-0.134399,-0.211746,-0.211639,-0.22798200000000002,-0.340988,-0.385345,-0.395615,-0.45723,-0.353302,-0.40266399999999997,-0.41737399999999997,-0.422104,-0.434479,-0.41326899999999994,-0.39389,-0.396515,-0.341095,-0.39009099999999997,-0.429733,-0.45239300000000005,-0.39003000000000004,-0.410049,-0.41490200000000005,-0.352402,-0.353119,-0.306259,-0.272827,-0.271698,-0.114426,-0.057540999999999995,-0.175446,-0.256287,-0.20965599999999998","-0.027481000000000002,-0.018997,-0.108643,-0.150375,-0.12481700000000001,-0.153503,-0.131363,-0.21815500000000002,-0.20541399999999999,-0.142197,-0.151337,-0.172241,-0.116379,-0.175583,-0.12693800000000002,-0.177795,-0.190216,-0.198639,-0.17686500000000002,-0.128937,-0.101562,-0.086349,-0.065445,-0.020828,-0.049942,-0.021575999999999998,-0.023666,-0.050506999999999996,-0.052536,-0.099457,-0.090866,-0.23896799999999999,-0.170151,-0.13385,-0.18240399999999998,-0.18476900000000002,-0.192856,-0.27265900000000004,-0.23492399999999997,-0.246506","-1.091736,-1.0444639999999998,-0.9439540000000001,-1.019028,-0.8682709999999999,-0.8469389999999999,-1.058624,-0.846405,-1.096375,-0.915176,-0.9348299999999999,-1.07962,-1.0080870000000002,-0.9752040000000001,-0.981201,-0.7763369999999999,-0.883865,-0.896576,-0.969086,-0.8526610000000001,-0.8627469999999999,-0.8728790000000001,-0.958923,-0.907364,-1.0315860000000001,-1.062897,-1.0735629999999998,-0.9155120000000001,-0.841248,-0.969086,-0.96521,-0.798767,-1.022141,-1.0883479999999999,-0.9912719999999999,-0.9783780000000001,-0.942566,-0.9299930000000001,-0.956161,-0.9817049999999999",50
227,"-0.168427,-0.270432,-0.239914,-0.209961,-0.15846300000000002,-0.230911,-0.269867,-0.252625,-0.311234,-0.295135,-0.259827,-0.207916,-0.22973600000000002,-0.219315,-0.11950699999999999,-0.211441,-0.334122,-0.252548,-0.266815,-0.2677,-0.386429,-0.403992,-0.293152,-0.347244,-0.44628900000000005,-0.31851199999999996,-0.357483,-0.364807,-0.34130900000000003,-0.35978699999999997,-0.394928,-0.422104,-0.358047,-0.363937,-0.340729,-0.293274,-0.260513,-0.252945,-0.19397,-0.180542","-0.270538,-0.268845,-0.288925,-0.185074,-0.18985,-0.180695,-0.189026,-0.199493,-0.21044899999999997,-0.29504400000000003,-0.27034,-0.239029,-0.333282,-0.295898,-0.284317,-0.228607,-0.301025,-0.254837,-0.171036,-0.203308,-0.238632,-0.196823,-0.187637,-0.261429,-0.189194,-0.145325,-0.21600300000000003,-0.2939,-0.277878,-0.249466,-0.27455100000000005,-0.309525,-0.25267,-0.311417,-0.308899,-0.22540300000000002,-0.347458,-0.29794299999999996,-0.23388699999999998,-0.162415","-0.9364620000000001,-0.902374,-0.9909209999999999,-1.066086,-0.780411,-1.021683,-1.0035100000000001,-1.100937,-1.019348,-1.070633,-1.11438,-0.9147639999999999,-1.066742,-0.7364649999999999,-0.7444149999999999,-0.925751,-1.023132,-1.096558,-0.93486,-0.84021,-0.9084780000000001,-1.0134889999999999,-0.985657,-1.132965,-0.987442,-0.905533,-0.8612209999999999,-0.874619,-0.7695770000000001,-0.810791,-0.917435,-0.959549,-0.920441,-0.962982,-0.9127200000000001,-0.818878,-1.0541690000000001,-1.101318,-1.0146030000000001,-1.065521",60
228,"-0.175018,-0.223282,-0.21844499999999997,-0.17938199999999999,-0.108368,-0.170105,-0.24235500000000001,-0.138275,-0.132797,-0.084991,-0.125885,-0.12651099999999998,-0.074051,-0.071625,-0.11970499999999999,-0.033905000000000005,-0.057953,0.020172,-0.022736000000000003,-0.03273,-0.024444999999999998,-0.054672000000000005,0.010193,0.037155,0.019073,-0.048859,-0.019226,-0.021317,-0.063431,-0.12446600000000001,-0.068237,-0.07739299999999999,-0.13030999999999998,-0.10434,-0.078125,-0.047744999999999996,-0.044876,0.014922999999999999,0.040543,0.095581","-0.166245,-0.23120100000000002,-0.178818,-0.185425,-0.189835,-0.21134899999999998,-0.19076500000000002,-0.245178,-0.16256700000000002,-0.128342,-0.097015,-0.086029,-0.052582000000000004,-0.076508,-0.051955999999999995,-0.082367,-0.042862,-0.053741,-0.036285000000000005,-0.080276,-0.048218000000000004,-0.071701,-0.086151,-0.020630000000000003,0.018143,0.034836,0.00267,0.06718400000000001,0.16128499999999998,0.045624,-0.000275,0.032379000000000005,-0.027817,-0.017029,0.031097000000000003,0.040527,-0.001038,-0.0017850000000000001,0.008591,0.044571","-0.9360809999999999,-0.938644,-1.007339,-1.014343,-0.8750459999999999,-1.193085,-0.881424,-0.987427,-0.8334809999999999,-0.899826,-0.931076,-1.01358,-1.084351,-0.9908450000000001,-0.918335,-1.012634,-0.974152,-1.127686,-1.122208,-1.054214,-0.9875639999999999,-0.915283,-1.0211940000000002,-1.112076,-0.958466,-1.049942,-1.033951,-0.9943700000000001,-0.9536899999999999,-0.94458,-1.044006,-1.034805,-1.0622559999999999,-0.979691,-0.971542,-0.9776309999999999,-1.024826,-0.9730219999999999,-0.8781129999999999,-0.9446110000000001",70
229,"0.093796,0.049179,0.059525,-0.002121,0.012924000000000001,0.022354,0.05873099999999999,0.05545,0.088013,0.161957,0.038939999999999995,0.085892,0.101639,0.035172,0.038589,0.041504,0.002594,0.070877,0.032577999999999996,0.118973,0.103424,0.13484200000000002,0.14718599999999998,0.069366,-0.002472,0.035782,0.090576,0.10508699999999999,0.165421,0.141174,0.08277899999999999,0.020691,0.006698999999999999,0.05935700000000001,0.025162,0.039017,0.097107,0.06955,0.102524,0.095978","-0.054672000000000005,-0.072784,-0.029556,-0.030823000000000003,-0.052582000000000004,0.007065000000000001,-0.014938,0.007492,0.031311,0.063202,0.059662,0.023865,0.155899,0.061188,-0.014099,0.008223999999999999,0.056304999999999994,-0.035278,0.099136,0.056946000000000004,0.15304600000000002,0.100098,0.125717,0.08984400000000001,0.022858,0.021118,0.06004299999999999,0.037567,0.055344000000000004,0.100098,0.086639,0.10328699999999999,0.095337,0.14357,0.054276,0.051864999999999994,0.080536,0.050812,0.051620000000000006,0.061844","-1.1100459999999999,-1.1374360000000001,-1.136475,-0.966476,-0.932175,-0.9203030000000001,-0.9350430000000001,-0.889191,-0.9825290000000001,-1.262512,-1.101776,-1.147812,-0.9198149999999999,-0.675964,-0.8504940000000001,-1.078506,-1.106934,-1.026093,-1.0649110000000002,-1.072495,-0.8686219999999999,-0.8772280000000001,-0.8959959999999999,-1.1304020000000001,-1.238434,-1.097504,-1.000732,-0.849457,-0.9097139999999999,-0.9295959999999999,-1.094818,-1.094406,-1.104355,-1.095642,-0.8332370000000001,-0.84906,-0.955765,-0.9595950000000001,-1.10553,-1.022797",60
230,"0.108276,0.109207,0.100006,0.08909600000000001,0.12376400000000001,0.158356,0.13026400000000002,0.12228399999999999,0.081451,0.089172,0.068237,0.048386,0.021561,-0.047195,-0.009521,-0.014786,-0.050369,-0.079315,-0.007476999999999999,0.022338999999999998,-0.002441,-0.038193,0.030501999999999998,-0.010147,0.081879,-0.149277,-0.202881,-0.048431,0.039185000000000005,0.008362,-0.062653,-0.063309,-0.091583,0.03804,0.046294999999999996,0.057922,0.067551,0.0044399999999999995,-0.032074,-0.02446","0.028946,0.046265,0.077774,0.04805,-0.007706,0.019531,0.027542,0.052504999999999996,0.018539,0.017440999999999998,0.042633,0.03537,0.030273,0.020508000000000002,-0.036407,0.012192,0.0075379999999999996,-0.027374000000000002,-0.017776,-0.016632,-0.055969000000000005,-0.030136000000000003,0.029587000000000002,-0.033645999999999995,-0.047684,0.119064,-0.11636400000000001,0.08284,0.044189,-0.031754000000000004,0.039825,0.020462,-0.029297000000000004,-0.014694,0.032333,0.13284300000000002,0.135345,0.174301,0.11198399999999999,0.098358","-1.109177,-1.091064,-0.98735,-0.8590549999999999,-0.9424290000000001,-1.079208,-1.11998,-1.0622559999999999,-1.061996,-1.1262969999999999,-1.019852,-0.8206479999999999,-1.022705,-1.025696,-0.998398,-0.9935459999999999,-0.935989,-1.019836,-1.052704,-0.9933930000000001,-1.079895,-1.095993,-1.064194,-0.861023,-1.180145,-0.715576,-0.937897,-0.9219510000000001,-0.9074709999999999,-1.18187,-1.170959,-1.09407,-0.985718,-0.928452,-1.052185,-1.05545,-1.0493620000000001,-0.8460850000000001,-1.0589600000000001,-1.1085049999999999",50
231,"-0.059387,-0.068176,-0.030273,-0.030289,0.0023350000000000003,0.012558,0.007492,-0.048507999999999996,-0.008713,0.002182,-0.142822,-0.11256400000000001,-0.167984,-0.177765,-0.175705,-0.111404,-0.012421,0.026702999999999998,0.061737,0.0030210000000000002,-0.095276,-0.19406099999999998,-0.11561600000000001,-0.195267,-0.174225,-0.162537,-0.06564299999999999,-0.119125,-0.18046600000000002,-0.233917,-0.240707,-0.24752800000000003,-0.232697,-0.22262600000000002,-0.190521,-0.221237,-0.183258,-0.16633599999999998,-0.17388900000000002,-0.19911199999999998","0.100143,0.03569,0.054596000000000006,0.077789,0.083115,0.099564,0.08943200000000001,0.090927,0.09371900000000001,0.14122,0.122635,0.166138,0.176102,0.10105900000000001,0.08943200000000001,0.089874,0.090088,0.0008539999999999999,0.029633,0.080627,0.073822,-0.049606,-0.055420000000000004,0.088852,0.093399,-0.006516,0.079529,0.132217,0.031311,0.040878,0.005340999999999999,0.012054,-0.002045,-0.043945,0.038132,0.007736,0.001266,0.0075840000000000005,0.016235,0.022186","-0.877167,-0.843399,-0.842773,-0.9519350000000001,-0.999451,-1.115204,-1.114792,-0.974808,-0.805099,-0.872711,-1.0649110000000002,-1.0495,-1.0715940000000002,-1.061432,-0.9230649999999999,-1.059021,-0.983841,-0.963226,-1.062469,-1.068192,-1.041611,-0.881058,-0.847794,-0.900803,-1.0808870000000002,-0.940399,-0.9249879999999999,-0.922501,-0.963455,-0.996323,-1.078293,-1.086502,-1.007523,-0.95163,-0.902267,-0.949448,-0.9674530000000001,-0.97316,-0.997345,-0.982452",60
232,"-0.178162,-0.23580900000000002,-0.169907,-0.19155899999999998,-0.23120100000000002,-0.160522,-0.202988,-0.150803,-0.055115,-0.079086,-0.115051,-0.13858,-0.063766,-0.148529,-0.131485,-0.11511199999999999,-0.136765,-0.123749,-0.07518,-0.11987300000000001,-0.11166400000000001,-0.11199999999999999,-0.21420300000000003,-0.12928800000000001,-0.104019,-0.047501,-0.143402,-0.245575,-0.178787,-0.10935999999999998,-0.141556,-0.195923,-0.28646900000000003,-0.08963,-0.099289,-0.14741500000000002,-0.20912199999999997,-0.09182699999999999,-0.07757599999999999,-0.139191","-0.010147,0.001312,-0.010437,-0.018372,-0.043411,-0.040878,-0.003204,0.010605,-0.028319999999999998,-0.010239,0.012847999999999998,-0.019257,-0.095688,-0.065765,-0.052566999999999996,-0.019669,-0.034270999999999996,-0.008041,0.046127,0.016693,0.016861,-0.069214,-0.10430899999999999,-0.070648,-0.07309,-0.030319,-0.000198,0.099426,0.108475,0.16734300000000002,0.077682,0.124298,0.196686,0.160019,0.204361,0.084274,0.100235,0.118927,0.08692899999999999,0.108002","-0.9646299999999999,-0.966141,-0.952362,-0.9958950000000001,-1.014877,-1.018738,-1.001526,-1.031647,-0.917984,-1.04776,-1.137039,-0.921524,-0.999359,-0.956299,-0.888123,-1.059036,-1.05043,-1.1393280000000001,-1.102066,-1.023682,-0.915314,-0.8700709999999999,-0.9416959999999999,-1.026749,-0.897842,-1.035767,-1.153915,-1.2072450000000001,-1.163208,-0.990692,-0.843933,-0.890717,-0.8390049999999999,-0.9656680000000001,-1.045197,-1.073669,-1.025299,-0.9141239999999999,-0.998764,-1.075302",40
