Index,X,Y,Z
346,0.13443,-0.52832,-0.857056
347,0.210617,-0.613342,-0.67485
348,0.123215,-0.459793,-0.921783
349,0.114563,-0.527359,-0.832916
350,0.145615,-0.493134,-0.902115
351,0.108765,-0.435242,-0.961075
352,0.122208,-0.49353,-0.925247
353,0.092682,-0.456711,-0.909409
354,0.066238,-0.468231,-0.890579
355,-0.000381,-0.468689,-0.846878
356,-0.100143,-0.369003,-0.851822
357,-0.024841,-0.431915,-0.929108
358,0.04158,-0.454468,-0.846664
359,0.067764,-0.45047,-0.95845
360,0.052948,-0.416901,-0.883163
361,0.08371,-0.49762,-0.898727
362,0.100464,-0.46048,-0.912216
363,0.034439,-0.534851,-1.0215
364,0.041687,-0.497849,-0.911087
365,0.103317,-0.448959,-0.823868
366,0.113419,-0.350555,-0.843231
367,0.110962,-0.363159,-0.93071
368,0.119247,-0.44841,-0.91748
369,0.101425,-0.437714,-1.02565
370,0.149704,-0.403015,-0.935974
371,0.139069,-0.406494,-0.828156
372,0.182297,-0.429733,-0.882767
373,0.230606,-0.416382,-0.875336
374,0.148193,-0.407242,-0.913574
375,0.113266,-0.350006,-0.928848
376,0.238373,-0.407318,-0.941483
377,0.199219,-0.385895,-0.871506
378,0.19043,-0.332779,-0.882217
379,0.212234,-0.345398,-0.9189
380,0.208618,-0.350876,-0.93338
381,0.207367,-0.333481,-0.972366
382,0.202789,-0.305527,-0.966492
383,0.226929,-0.311157,-0.999817
384,0.210724,-0.320007,-0.972244
385,0.157486,-0.287109,-0.900558
386,0.168167,-0.283356,-0.852295
387,0.163345,-0.260956,-0.922577
388,0.164047,-0.242096,-0.880859
389,0.165085,-0.222244,-0.902527
390,0.184555,-0.238907,-0.898575
391,0.169205,-0.232117,-0.93309
392,0.229736,-0.255814,-0.993149
393,0.213181,-0.264038,-0.986221
394,0.218399,-0.265549,-0.936554
395,0.231323,-0.295715,-0.947449
396,0.192734,-0.289093,-0.930542
397,0.1819,-0.241364,-0.962418
398,0.167664,-0.212204,-0.90242
399,0.175995,-0.220932,-0.998749
400,0.13559,-0.222839,-1.021774
401,0.111908,-0.211624,-0.995209
402,0.132401,-0.169876,-1.051865
403,0.14566,-0.241104,-0.932938
404,0.159897,-0.201691,-1.046631
405,0.152451,-0.231216,-0.988068
406,0.145157,-0.231613,-1.042587
407,0.168411,-0.243607,-1.088074
408,0.10788,-0.237427,-1.017746
409,0.17897,-0.1987,-1.049225
410,0.176407,-0.211151,-0.955643
411,0.129059,-0.205078,-0.922104
412,0.079559,-0.23642,-0.949875
413,0.077881,-0.222931,-0.964584
414,0.081894,-0.303543,-1.102142
415,0.097519,-0.315292,-0.998596
416,0.092163,-0.295502,-1.008865
417,0.074387,-0.357651,-0.917267
418,0.064835,-0.445389,-0.844269
419,0.012711,-0.30249,-1.013138
420,0.026154,-0.490082,-0.863525
421,0.053055,-0.439209,-0.937164
422,0.068268,-0.35228,-0.889893
423,0.096588,-0.415802,-0.874268
424,0.063354,-0.440933,-0.893768
425,0.009888,-0.416077,-0.951675
426,0.030991,-0.425735,-0.969772
427,0.000015,-0.403641,-0.963318
428,0.000397,-0.308289,-0.914352
429,0.025574,-0.423065,-0.907455
430,0.019974,-0.391342,-0.841125
431,0.004471,-0.386551,-1.046082
432,-0.020401,-0.411148,-0.966827
433,-0.028702,-0.357834,-0.991394
434,0.036469,-0.324905,-0.878952
435,0.032333,-0.372894,-0.854813
436,0.045517,-0.346481,-0.963577
437,0.016861,-0.501419,-0.987823
438,0.026962,-0.378265,-0.930283
439,0.051086,-0.273804,-0.723694
440,0.044739,-0.263199,-0.926254
441,-0.00119,-0.404846,-0.817856
442,-0.032394,-0.533569,-0.969727
443,-0.122864,-0.37674,-1.126785
444,-0.067596,-0.468094,-0.98938
445,-0.052032,-0.378891,-0.713089
446,-0.048828,-0.295135,-0.894363
447,-0.008667,-0.295792,-0.832001
448,0.005569,-0.522781,-0.967758
449,-0.037247,-0.495911,-1.170837
450,-0.039124,-0.54158,-1.23465
451,0.00444,-0.380035,-0.731216
452,-0.005005,-0.322723,-0.71904
453,-0.013657,-0.405182,-0.90683
454,-0.009659,-0.406021,-0.680161
455,0.04425,-0.470352,-0.992828
456,0.024048,-0.49823,-1.101425
457,-0.020737,-0.524109,-0.922409
458,0.002426,-0.370178,-0.776505
459,-0.049515,-0.373093,-0.965866
460,-0.030609,-0.484818,-0.887146
461,-0.078461,-0.487198,-1.017227
462,-0.111496,-0.377518,-0.923523
463,-0.075714,-0.404251,-0.992111
464,-0.039352,-0.449921,-0.854294
465,-0.05191,-0.384583,-0.810364
466,-0.049026,-0.370743,-0.905472
467,-0.082825,-0.491943,-0.846848
468,-0.131271,-0.423386,-0.89064
469,-0.133957,-0.441833,-0.869812
470,-0.070984,-0.444336,-0.867828
471,-0.031982,-0.402191,-0.756683
472,-0.04068,-0.43837,-0.931122
473,-0.04332,-0.350555,-0.835983
474,-0.055939,-0.43454,-0.830658
475,0.02713,-0.43924,-0.824265
476,0.001617,-0.419388,-0.880737
477,-0.006821,-0.449173,-0.903351
478,-0.054092,-0.431366,-0.90564
479,-0.097946,-0.393478,-0.867081
480,-0.078171,-0.408051,-0.939133
481,-0.085968,-0.427597,-0.863419
482,-0.049744,-0.35643,-0.827179
483,-0.017426,-0.390549,-0.887573
484,-0.034164,-0.394821,-0.907669
485,-0.047607,-0.441833,-0.949448
486,-0.042664,-0.382935,-0.890289
487,-0.028519,-0.36264,-0.856171
488,-0.05571,-0.305481,-0.791702
489,-0.083267,-0.317535,-0.856171
490,-0.070862,-0.406982,-0.854996
491,-0.076889,-0.387573,-0.898315
492,-0.071747,-0.394577,-0.830154
493,-0.059341,-0.445236,-0.919983
494,-0.063202,-0.466751,-0.94101
495,-0.066452,-0.446793,-0.891632
496,-0.065002,-0.408081,-0.938812
497,-0.044632,-0.384888,-0.861465
498,-0.045685,-0.300125,-0.822449
499,-0.021362,-0.30574,-0.888855
500,-0.060883,-0.399521,-0.932205
501,-0.061676,-0.387436,-0.967819
502,-0.123535,-0.410858,-0.946945
503,-0.111572,-0.422592,-0.891083
504,-0.132019,-0.499481,-0.921692
505,-0.105713,-0.441498,-0.905594
506,-0.085709,-0.441864,-0.811935
507,-0.096893,-0.49321,-0.925247
508,-0.068359,-0.469421,-0.869705
509,-0.099152,-0.472794,-0.923111
510,-0.093124,-0.380386,-0.953201
511,-0.085556,-0.473434,-1.00177
512,-0.153,-0.287186,-0.901108
513,-0.098297,-0.32608,-0.73674
514,0.016434,-0.27417,-0.451416
515,-0.011276,-0.547882,-1.034241
516,-0.070694,-0.18187,-0.970444
517,-0.115845,-0.555222,-0.730087
518,-0.061996,-0.496994,-0.880692
519,-0.095749,-0.284653,-0.92627
520,-0.008163,-0.319595,-0.562881
521,-0.006805,-0.769852,-1.325546
522,-0.084518,-0.574615,-1.114349
523,-0.059982,-0.356979,-1.012238
524,-0.031631,-0.323105,-0.863297
525,-0.06308,-0.358536,-0.896332
526,-0.043396,-0.508209,-0.873825
527,-0.085556,-0.469986,-0.949173
528,0,-0.446899,-0.9366
529,0.104858,-0.490311,-0.78273
530,0.071991,-0.430679,-0.89328
531,0.057465,-0.424271,-0.981613
532,0.000366,-0.407791,-0.891937
533,-0.03157,-0.286392,-0.750504
534,-0.039352,-0.294724,-0.825272
535,-0.002243,-0.324112,-0.938568
536,0.020248,-0.622086,-0.884323
537,-0.03035,-0.731583,-1.070602
